Intent,Example Query,Response
Order Status,"Where is my order?","Your order #{order_num} is out for delivery."
Order Status,"What is the status of order #12345?","Your order #{order_num} is currently being processed by the warehouse."
Order Status,"When will my package arrive?","Order #{order_num} is scheduled to arrive tomorrow."
Order Status,"track my order 12345","We are processing your order #{order_num}."
Order Status,"My order hasn't arrived yet","I'm sorry to hear that. Can you please provide your order number so I can check?"
Order Status,"I'm still waiting for my package","Let me check the status for you. What is your order number?"
Order Status,"Can I get a tracking update?","Certainly! Please provide your order number (e.g., #12345)."
Order Status,"Has my order #54321 shipped?","Yes, order #{order_num} has been shipped and is on its way."
Order Status,"Check status for 98765","Order #{order_num} is currently out for delivery."
Order Status,"Why is my order delayed?","Delays can happen. Let me check your order status. What's the order number?"
Return Policy,"How can I return a product?","You can return products within 15 days via our online portal."
Return Policy,"What is your return policy?","You can return products within 15 days via our online portal."
Return Policy,"I want to return my item","Please visit my-account.shop.com/returns to initiate a return."
Return Policy,"How do I start a return?","To start a return, log in to your account and go to the 'My Orders' section."
Return Policy,"Is the return shipping free?","Yes, we offer free return shipping on all eligible orders."
Return Policy,"How long do I have to return an item?","Our return policy allows for returns within 15 days of delivery."
Return Policy,"Can I return a sale item?","All items, including sale items, can be returned within 15 days."
Return Policy,"I received a damaged product, what do I do?","We are very sorry about that! Please initiate a return at my-account.shop.com/returns and select 'Damaged Item'."
Product Info,"Does this phone support fast charging?","Yes, this phone supports fast charging."
Product Info,"Is this laptop waterproof?","This laptop is water-resistant, but not fully waterproof."
Product Info,"What colors does this shirt come in?","This shirt is available in Red, Blue, and Black."
Product Info,"tell me about this product","Please provide the product name for more details."
Product Info,"What are the specifications for the 'Pro Laptop X'?","The 'Pro Laptop X' comes with an i7 processor, 16GB RAM, and a 1TB SSD."
Product Info,"Is this item in stock?","To check stock, please visit the product page on our website."
Product Info,"Do you have this in a size Medium?","Stock levels for specific sizes are shown on the product page."
Product Info,"What material is this made of?","This shirt is made of 100% premium cotton."
Product Info,"Does this come with a warranty?","Yes, all electronics come with a 1-year manufacturer warranty."
Payment Issues,"My payment failed","I'm sorry to hear that. Please try using a different payment method or check your card details."
Payment Issues,"I was charged twice!","We apologize for this error. Please contact our billing department at billing@shop.com with your order ID."
Payment Issues,"Do you accept PayPal?","Yes, we accept PayPal, Credit/Debit Cards, and Net Banking."
Payment Issues,"What payment methods do you support?","We accept all major Credit/Debit Cards, PayPal, and Net Banking."
Payment Issues,"My coupon code isn't working","Please ensure the coupon code is typed correctly and has not expired."
Payment Issues,"Can I pay with cash on delivery?","We are sorry, but we do not offer Cash on Delivery (COD) at this time."
Shipping Info,"How long does shipping take?","Standard shipping typically takes 3-5 business days."
Shipping Info,"Do you offer express shipping?","Yes, we offer express shipping (1-2 business days) for an additional fee."
Shipping Info,"How much does shipping cost?","Standard shipping is free for all orders over ₹500. Otherwise, it is ₹50."
Shipping Info,"Do you ship internationally?","Currently, we only ship within India."
Shipping Info,"Where do you ship from?","All orders are shipped from our central warehouse in Mumbai."
Shipping Info,"Can I change my shipping address?","You can change your shipping address only if your order has not been shipped. Please visit 'My Orders' to check."
Account Help,"I forgot my password","You can reset your password by clicking 'Forgot Password' on the login page."
Account Help,"How do I create an account?","Visit shop.com/register to create a new account."
Account Help,"I can't log in to my account","Please double-check your email and password. If the problem persists, try resetting your password."
Account Help,"How do I update my profile?","Log in to your account and visit the 'My Profile' section to update your details."
Account Help,"Delete my account","To delete your account, please send a request to support@shop.com from your registered email ID."
General Inquiry,"What are your opening hours?","Our online store is open 24/7! Customer support is available from 9 AM to 6 PM, Mon-Fri."
General Inquiry,"Where is your store located?","We are an online-only store and do not have physical retail locations."
General Inquiry,"How can I contact customer service?","You can chat with us here, or email us at support@shop.com."
Greeting,"Hello","Hi! How can I help you today?"
Greeting,"Hi","Hi! How can I help you today?"
Greeting,"Good morning","Good morning! How can I assist you?"
Greeting,"Hey","Hello! What can I do for you?"
Greeting,"Hi there","Hey there! How can I help?"
Goodbye,"Thanks, bye!","You're welcome! Have a great day."
Goodbye,"Thank you","You're welcome! Let me know if you need anything else."
Goodbye,"That's all","Glad I could help. Goodbye!"
Goodbye,"Bye","Goodbye! Have a nice day."
Goodbye,"Okay, thanks","You're welcome. Take care!"
